순위,업소명,주소,분류,현지인 검색 수
1,하동식당,울산 동구 동해안로 30-7,한식,1292
2,순례국밥,울산 동구 남진길 80-12,한식,1283
3,홍익돈까스울산동구일산점,울산 동구 일산진3길 27-0,외국식,1207
4,섬뜰,울산 동구 동진로 42-0,한식,1198
5,동해반점[중식],울산 동구 꽃바위3길 63-0,외국식,1191
6,보리꽃,울산 동구 해수욕장10길 74-0,한식,1129
7,그라파피자리아,울산 동구 남진길 50-0,간이음식,1067
8,녹색의향기일산점,울산 동구 해수욕장9길 31-0,전문음식,1039
9,주전백숙,울산 동구 동해안로 681-0,한식,1005
10,대왕암아구찜,울산 동구 해수욕장4길 8-0,한식,981
11,카페벼리,울산 동구 물목길 20-0,카페/찻집,974
12,동남횟집,울산 동구 보밑길 75-0,전문음식,919
13,60헤르츠,울산 동구 동해안로 612-0,카페/찻집,860
14,해월당울산일산점,울산 동구 등대로 50-0,카페/찻집,833
15,쉐프의고깃간,울산 동구 해수욕장1길 7-0,한식,829
16,덕수궁일산점,울산 동구 해수욕장3길 16-0,한식,813
17,대왕암등대갈비,울산 동구 등대2길 18-0,한식,782
18,산내암소마을,울산 동구 해수욕장2길 13-0,한식,772
19,원조해동[중식],울산 동구 고늘로 80-30,외국식,753
20,대왕암암소갈비,울산 동구 등대로 26-0,한식,688
21,해마지,울산 동구 동해안로 671-0,전문음식,644
22,해운대31cm해물칼국수울산직영점,울산 동구 일산진4길 11-0,한식,642
23,정식당,울산 동구 동해안로 661-0,한식,625
24,진주횟집,울산 동구 중진길 55-0,전문음식,619
25,인얼스커피울산동구점,울산 동구 해수욕장7길 5-0,카페/찻집,606
26,식당153,울산 동구 해수욕장10길 18-0,한식,590
27,인더썬,울산 동구 해수욕장2길 42-0,한식,583
28,제주은희네해장국울산동구점,울산 동구 등대로 42-0,한식,558
29,육일횟집,울산 동구 주전해안길 278-0,전문음식,548
30,일산정삼계탕,울산 동구 해수욕장3길 15-0,한식,545
31,일산활어회센터,울산 동구 해수욕장10길 60-0,전문음식,535
32,누리마을감자탕&등뼈찜일산점,울산 동구 일산진4길 20-0,한식,515
33,산너머남촌,울산 동구 동해안로 596-0,한식,512
34,하림각[중식],울산 동구 해수욕장2길 20-0,외국식,510
35,솔마루멧돼지촌울산본점,울산 동구 동해안로 620-0,한식,467
36,버프커피,울산 동구 주전해안길 176-0,카페/찻집,463
37,백년본가김치찜,울산 동구 일산진6길 39-0,한식,463
38,육향,울산 동구 해수욕장8길 8-0,한식,457
39,고집센그집갈비탕울산본점,울산 동구 대학길 133-0,한식,433
40,둥지터,울산 동구 해수욕장9길 46-0,한식,411
41,커피명가슬도,울산 동구 성끝길 74-0,카페/찻집,407
42,일산생선구이,울산 동구 일산진4길 11-0,한식,407
43,꾸꾸과자점,울산 동구 등대2길 7-0,간이음식,390
44,제갈콩명,울산 동구 보성길 28-0,한식,390
45,장터돼지국밥,울산 동구 등대5길 39-1,한식,374
46,옹심이메밀칼국수,울산 동구 해수욕장6길 9-0,한식,373
47,하몬,울산 동구 등대로 53-0,카페/찻집,351
48,제줏간울산동구점,울산 동구 등대로 43-0,한식,347
49,콜링포트,울산 동구 남진길 8-0,카페/찻집,344
50,도원,울산 동구 고늘로 6-0,한식,328
51,코모레비[일식],울산 동구 해수욕장9길 36-0,외국식,324
52,거제도굴구이꿀꿀이,울산 동구 월봉8길 47-0,전문음식,318
53,서가앤쿡울산일산점,울산 동구 해수욕장10길 38-0,전문음식,315
54,별장횟집,울산 동구 주전해안길 218-0,전문음식,308
55,채선당플러스일산점,울산 동구 일산진3길 21-0,전문음식,302
56,오리궁뎅이,울산 동구 동해안로 600-0,전문음식,296
57,북촌 손만두 울산동구 홈플러스,울산 동구 방어진순환도로 637-0,간이음식,295
58,정안정동구점,울산 동구 일산진6길 16-0,한식,284
59,진미만두,울산 동구 녹수7길 57-0,한식,278
60,남일횟집,울산 동구 주전해안길 107-0,전문음식,278
61,경북횟집,울산 동구 중진길 39-0,전문음식,276
62,대구짬뽕정[중식],울산 동구 대송로 4-0,외국식,272
63,금상첨화,울산 동구 해수욕장10길 22-0,한식,269
64,바이트미피자,울산 동구 해수욕장10길 34-0,간이음식,268
65,롤링파스타울산일산점,울산 동구 등대로 42-0,외국식,267
66,공주분식,울산 동구 미포1길 56-0,간이음식,264
67,영천한우마을,울산 동구 방어진순환도로 512-0,한식,262
68,온정정육식당,울산 동구 해수욕장6길 17-0,한식,257
69,하라검,울산 동구 해수욕장10길 92-0,한식,257
70,가야정,울산 동구 명덕5길 11-0,한식,252
71,카페보름,울산 동구 주전해안길 196-0,카페/찻집,251
72,언양닭칼국수일산점,울산 동구 일산진2길 15-0,한식,249
73,아라숯불닭갈비&쭈꾸미울산점,울산 동구 해수욕장9길 26-0,전문음식,245
74,유가네닭갈비울산일산점,울산 동구 일산진6길 29-0,전문음식,239
75,해녀횟집,울산 동구 주전해안길 236-0,전문음식,230
